"customer_id","first_name","last_name","credit_score","loan_amount","interest_rate"
"CUS0VWWKGL3C2ET","Matthew","Khan",328,7939.97,8.16
"CUSK3SW6KH12S96","David","Meyer",675,176269.07,3.84
"CUS7D2AZQQGCDHI","Cassandra","Brown",702,193167.37,10.97
"CUSKF0P22H7PUEM","Karen","Velasquez",724,15623.54,13.35
"CUS4KVHY58PGUXF","Katelyn","Wilkerson",794,50695.04,7.37
"CUS7BPAAKLYYY42","Brenda","Martin",533,196049.13,8.10
"CUSJ7KYVHT6ZWCH","Natalie","Bennett",540,23074.90,7.08
"CUSFY357STKLGR8","Daniel","Hernandez",543,174356.26,5.26
"CUSXOL4RMHAJ3F0","Cheryl","Snyder",440,178071.99,2.75
"CUSIUFWOFRYTP4D","Kara","Yoder",672,272416.83,7.54
"CUSNK9FJ5J97Q1P","Lisa","Sheppard",366,136723.50,5.55
"CUS8WNWNJT6GKU0","Troy","Owen",783,11383.25,9.34
"CUSNAXJZLIFPAO6","James","Nichols",819,91681.88,10.23
"CUSAKQVJ8L9NX35","Abigail","Smith",357,144956.19,7.60
"CUSYFUY9D3ZAL7O","Stephanie","Townsend",803,277656.13,10.94
"CUSJSEP0SJGKQQA","Michelle","Smith",626,217145.09,5.04
"CUS1SZGLXDDEWJK","Kathleen","Garza",785,172335.77,7.74
"CUSJ55P0CVVYJ5Y","Tina","Marshall",548,254809.72,3.60
"CUSMQEJO7MQ67B8","Daniel","Garcia",492,198638.02,10.99
"CUSDCLI6978V0BJ","Elizabeth","Jackson",690,28944.20,2.27
"CUSTDPWLYIO2QXQ","Kimberly","Davis",568,266318.40,9.06
"CUS5510HDNF308X","Brent","Fields",819,184984.81,10.09
"CUS7S2DOTKQEPCW","Brian","Jordan",335,127021.52,5.30
"CUS0DOIVQ9F9R71","Michael","Curtis",411,295443.89,14.65
"CUSULIIX8GFVEA5","Tamara","Barnes",404,212862.54,3.26
"CUSDSTV6RBM7I2Z","Amy","Sanchez",465,22750.37,13.59
"CUS1ZW98US0QDFK","Samantha","Bray",672,107362.46,9.43
"CUSQH3XAE77A8N2","Nicholas","Small",456,207426.72,7.29
"CUSPFEQVFVUDKA8","Kelly","Mclaughlin",506,120138.85,3.86
"CUSVD16JAG5E6ST","Teresa","Arnold",718,85853.53,14.95
"CUSHZ6FNDDTIULG","Nancy","Duran",441,154196.56,10.23
"CUSDA7U48SPBILD","David","Costa",591,45819.77,14.01
"CUSGRX68YN2Z354","Kathryn","Barton",540,90826.99,12.20
"CUS8YHD6WBM8MIK","Justin","Hubbard",664,108893.54,13.16
